央视频道,#genre#
CCTV2,http://121.230.33.64:8000/rtp/239.49.8.130:6000
CCTV2,http://121.230.33.64:8000/rtp/239.49.1.2:6000
CCTV2,http://123.117.175.121:8118/rtp/239.3.1.60:8084
CCTV2,http://113.233.42.243:8866/rtp/232.0.0.135:1234
CCTV2,http://113.120.108.132:4000/rtp/239.21.1.2:5002
CCTV2,http://183.164.37.9:4022/rtp/238.1.78.235:7752
CCTV2,http://60.13.87.224:4022/rtp/239.254.96.124:7084
CCTV2,http://60.13.87.224:4022/rtp/239.254.96.2:7000
CCTV2,http://171.83.38.8:8888/rtp/239.69.1.102:10250
CCTV2,http://171.83.38.8:8888/rtp/239.254.96.154:8998
CCTV2,http://180.122.53.38:4022/rtp/239.49.8.130:6000
CCTV2,http://180.122.53.38:4022/rtp/239.49.1.2:6000
CCTV2,http://111.193.230.175:8888/rtp/239.3.1.60:8084
CCTV2,http://117.91.60.238:8800/rtp/239.49.8.130:6000
CCTV2,http://117.91.60.238:8800/rtp/239.49.1.2:6000
CCTV2,http://120.0.44.202:9999/rtp/239.253.92.190:6065
CCTV2,http://114.249.13.164:4022/rtp/239.3.1.60:8084
CCTV2,http://123.160.206.31:8009/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://123.13.158.206:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://114.241.106.76:85/tsfile/live/2/1002_1.m3u8?key=txiptv
CCTV2,http://114.241.106.139:85/tsfile/live/2/1002_1.m3u8?key=txiptv
CCTV2,http://101.65.134.101:85/tsfile/live/1014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://139.227.221.179:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://113.195.9.171:85/tsfile/live/1151_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://123.159.210.185:85/tsfile/live/1014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://175.22.10.193:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://59.174.160.132:7777/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://221.232.199.200:7777/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://110.72.78.203:8181/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://27.10.95.231:4022/rtp/225.0.4.142:7980
CCTV3,http://27.10.95.231:4022/rtp/225.0.4.138:7980
CCTV3,http://113.241.133.180:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://180.157.180.130:8889/rtp/233.18.204.69:5140
CCTV3,http://180.157.180.130:8889/rtp/233.18.204.22:5140
CCTV3,http://27.18.153.170:8888/rtp/239.69.1.122:10370
CCTV3,http://124.165.251.82:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://116.77.33.98:44330/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3,http://61.178.227.57:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://124.116.183.146:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://123.113.104.82:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://123.112.162.134:4022/rtp/239.3.1.172:8001
CCTV3,http://124.77.92.229:4022/rtp/233.18.204.69:5140
CCTV3,http://124.77.92.229:4022/rtp/233.18.204.22:5140
CCTV3,http://36.46.98.88:8010/rtp/239.109.205.79:8568
CCTV3,http://36.46.98.88:8010/rtp/239.112.205.221:5140
CCTV3,http://36.46.98.88:8010/rtp/239.109.205.73:8520
CCTV3,http://36.46.98.88:8010/rtp/239.112.205.225:5140
CCTV3,http://222.184.194.52:8000/rtp/239.49.9.31:6000
CCTV3,http://222.184.194.52:8000/rtp/239.49.1.3:6000
CCTV3,http://124.66.98.85:4022/rtp/239.254.96.67:7520
CCTV3,http://123.112.208.143:4022/rtp/239.3.1.172:8001
CCTV3,http://61.187.148.168:4022/rtp/239.76.253.153:9000
CCTV3,http://61.187.148.168:4022/rtp/239.76.246.153:1234
CCTV3,http://121.230.33.64:8000/rtp/239.49.9.31:6000
CCTV3,http://121.230.33.64:8000/rtp/239.49.1.3:6000
CCTV3,http://123.117.175.121:8118/rtp/239.3.1.172:8001
CCTV3,http://113.233.42.243:8866/rtp/232.0.0.170:1234
CCTV3,http://113.120.108.132:4000/rtp/239.21.1.3:5002
CCTV3,http://183.164.37.9:4022/rtp/238.1.78.170:7232
CCTV3,http://60.13.87.224:4022/rtp/239.254.96.67:7520
CCTV3,http://171.83.38.8:8888/rtp/239.69.1.122:10370
CCTV3,http://180.122.53.38:4022/rtp/239.49.9.31:6000
CCTV3,http://180.122.53.38:4022/rtp/239.49.1.3:6000
CCTV3,http://111.193.230.175:8888/rtp/239.3.1.172:8001
CCTV3,http://117.91.60.238:8800/rtp/239.49.9.31:6000
CCTV3,http://117.91.60.238:8800/rtp/239.49.1.3:6000
CCTV3,http://120.0.44.202:9999/rtp/239.253.92.191:6057
CCTV3,http://114.249.13.164:4022/rtp/239.3.1.172:8001
CCTV3,http://123.160.206.31:8009/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://123.13.158.206:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://114.241.106.76:85/tsfile/live/3/1003_1.m3u8?key=txiptv
CCTV3,http://114.241.106.139:85/tsfile/live/3/1003_1.m3u8?key=txiptv
CCTV3,http://101.65.134.101:85/tsfile/live/1015_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3,http://139.227.221.179:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3,http://113.195.9.171:85/tsfile/live/1177_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3,http://123.159.210.185:85/tsfile/live/1015_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3,http://175.22.10.193:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://59.174.160.132:7777/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://221.232.199.200:7777/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://110.72.78.203:8181/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://27.10.95.231:4022/rtp/225.0.4.176:7980
CCTV4,http://27.10.95.231:4022/rtp/225.0.4.3:7980
CCTV4,http://180.157.180.130:8889/rtp/233.18.204.70:5140
CCTV4,http://180.157.180.130:8889/rtp/233.18.204.23:5140
CCTV4,http://27.18.153.170:8888/rtp/239.69.1.138:10466
CCTV4,http://27.18.153.170:8888/rtp/239.254.96.155:9004
CCTV4,http://124.165.251.82:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://116.77.33.98:44330/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV4,http://123.113.104.82:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://123.112.162.134:4022/rtp/239.3.1.105:8092
CCTV4,http://124.77.92.229:4022/rtp/233.18.204.70:5140
CCTV4,http://124.77.92.229:4022/rtp/233.18.204.23:5140
CCTV4,http://36.46.98.88:8010/rtp/239.112.205.202:5140
CCTV4,http://36.46.98.88:8010/rtp/239.109.205.159:9108
CCTV4,http://36.46.98.88:8010/rtp/239.109.205.11:8016
CCTV4,http://36.46.98.88:8010/rtp/239.112.205.4:5140
CCTV4,http://222.184.194.52:8000/rtp/239.49.8.131:6000
CCTV4,http://222.184.194.52:8000/rtp/239.49.1.4:6000
CCTV4,http://124.66.98.85:4022/rtp/239.254.96.180:7092
CCTV4,http://124.66.98.85:4022/rtp/239.254.96.4:7016
CCTV4,http://123.112.208.143:4022/rtp/239.3.1.105:8092
CCTV4,http://61.187.148.168:4022/rtp/239.76.245.195:1234
