英超 阿森纳VS阿斯顿维拉 全场回放 (詹俊、张路、林梦鸽) 04:00,${replace}/962044362
NBA 灰熊VS76人 全场回放（刘芳宇） 08:55,${replace}/962055039
NBA 灰熊VS76人 全场回放（英文原声） 08:55,${replace}/962055951
NBA 爵士VS凯尔特人 【全场回放】 爵士vs凯尔特人 09:55,${replace}/962057116
NBA 爵士VS凯尔特人 全场回放(蔡凯臣) 09:55,${replace}/962055178
NBA 湖人VS活塞 全场回放 (李天宇、陈正昊、徐咏、廖昕阳) 11:25,${replace}/962057172
NBA 湖人VS活塞 全场回放 (郑泽鹏) 11:25,${replace}/962057338
NBA 湖人VS活塞 全场回放（英文原声） 11:25,${replace}/962065528
NBA 快船VS国王 全场回放（杨健、闫宇峰、裴优） 11:55,${replace}/962057212
全国U19青年篮球联赛 山西汾酒92-84浙江稠州银行 全场回放(原声) 12:55,${replace}/962065338
全国U19青年篮球联赛 山东山高101-121广东宏远 全场回放（原声） 12:55,${replace}/962065768
全国U19青年篮球联赛 北控青年78-94福建浔兴 全场回放（原声） 14:55,${replace}/962066538
全国U19青年篮球联赛 青岛国信海天77-61北京首钢 全场回放（原声） 14:55,${replace}/962066574
WCBA 陕西榆林天泽VS东莞新彤盛 解说 19:25,${replace}/962052204
WCBA 武汉盛帆黄鹤VS浙江稠州银行 清流播出 19:25,${replace}/962052623
WCBA 上海浦发银行VS新疆天山 解说 19:25,${replace}/962053391
WCBA 江苏南钢VS北京首钢园 清流播出 19:25,${replace}/962052099
WCBA 石家庄英励VS山西竹叶青酒 清流播出 19:25,${replace}/962052862
浙江省城市篮球联赛 衢州VS丽水 2025浙江省城市篮球联赛: 衢州VS丽水 19:30,${replace}/961194371
NBL 长沙勇胜VS石家庄翔蓝 解说 19:20,${replace}/961271012
NBL 长沙勇胜VS石家庄翔蓝 现场原声 19:20,${replace}/961271031
NBL 湖北文旅VS盐南苏科雄狮 解说 19:20,${replace}/961270991
NBL 湖北文旅VS盐南苏科雄狮 现场原声 19:20,${replace}/961271001
浙江省城市篮球联赛 舟山VS庆元 25/26赛季浙江省城市篮球联赛: 舟山VS庆元 19:30,${replace}/961339111
CBA 辽宁本钢VS上海久事 图文直播 19:35,${replace}/961995002
CBA 深圳马可波罗VS北京控股 图文直播 19:35,${replace}/961995015
全国U19青年篮球联赛 辽宁沈阳三生vs新疆广汇 赛场原声 19:55,${replace}/961450495
全国U19青年篮球联赛 上海久事vs龙狮青年 赛场原声 19:55,${replace}/961450502
西双版纳越野跑 西双版纳越野跑第一日 清流播出 22:30,${replace}/961468296
NBA 黄蜂VS勇士 盛哲 01:55,${replace}/961470689
NBA 黄蜂VS勇士 英文原声 01:55,${replace}/961470671
NBA 黄蜂VS勇士 拜月宁 01:55,${replace}/961470765
NBA 步行者VS魔术 张泽欣 03:55,${replace}/961470598
NBA 步行者VS魔术 英文原声 03:55,${replace}/961470561
NBA 老鹰VS森林狼 陈鑫隆 03:55,${replace}/961470657
NBA 老鹰VS森林狼 英文原声 03:55,${replace}/961470616
NBA 骑士VS太阳 姜帆 04:25,${replace}/961470523
NBA 骑士VS太阳 英文原声 04:25,${replace}/961470482
西双版纳越野跑 西双版纳越野跑第二日 清流播出 07:00,${replace}/961468325
NBA 马刺VS尼克斯 罗森 07:55,${replace}/961470412
NBA 马刺VS尼克斯 英文原声 07:55,${replace}/961470360
NBA 公牛VS鹈鹕 王琰博 07:55,${replace}/961470461
NBA 公牛VS鹈鹕 英文原声 07:55,${replace}/961470435
NBA 猛龙VS掘金 邵化谦 08:25,${replace}/961470315
NBA 猛龙VS掘金 英文原声 08:25,${replace}/961470283
NBA 雄鹿VS奇才 董倡硕 08:55,${replace}/961470271
NBA 雄鹿VS奇才 英文原声 08:55,${replace}/961470196
NBA 雷霆VS开拓者 王冠证 陈正昊 王羽希 08:45,${replace}/961470135
NBA 雷霆VS开拓者 英文原声 08:55,${replace}/961470057
NBA 雷霆VS开拓者 邢晨 08:45,${replace}/961470161
羽超联赛 浙江竞体VS厦门银行 轩子博 11:00,${replace}/962049677
羽超联赛 浙江竞体VS厦门银行 杨妮娜 11:00,${replace}/962049838
羽超联赛 浙江竞体VS厦门银行 清流播出 11:00,${replace}/962049591
全国U19青年篮球联赛 F组第三vsF组第一 赛场原声 12:55,${replace}/961450509
全国U19青年篮球联赛 场序30负者vs场序34负者 赛场原声 12:55,${replace}/961450514
全国U19青年篮球联赛 F组第四vsF组第二 赛场原声 14:55,${replace}/961450548
全国U19青年篮球联赛 场序32负者vs场序36负者 赛场原声 14:55,${replace}/961450606
全国U19青年篮球联赛 E组第三vsE组第一 赛场原声 17:55,${replace}/961450634
全国U19青年篮球联赛 场序30胜者vs场序34胜者 赛场原声 17:55,${replace}/961450655
羽超联赛 辽宁极兔李永波VS青岛仁洲 余博洋 18:00,${replace}/962050488
羽超联赛 辽宁极兔李永波VS青岛仁洲 朱胤丞 18:00,${replace}/962050768
羽超联赛 辽宁极兔李永波VS青岛仁洲 清流播出 18:00,${replace}/962050383
乒乓球经典赛事 突破自我！王楚钦加冕世乒赛男单冠军 经典赛事 19:00,${replace}/962027666
WCBA 厦门环东文旅VS辽宁大连体产 清流播出 19:25,${replace}/962053683
WCBA 四川蜀道远达VS山东赤水河酒 清流播出 19:25,${replace}/962053619
NBL 张家口体文旅VS上海玄鸟 解说 19:20,${replace}/961271130
NBL 张家口体文旅VS上海玄鸟 现场原声 19:20,${replace}/961271144
NBL 安徽皖江龙VS香港金牛 解说 19:20,${replace}/961271093
NBL 安徽皖江龙VS香港金牛 现场原声 19:20,${replace}/961271105
NBL 江西鲸裕清酒VS杭州经纬 解说 19:20,${replace}/961271046
NBL 江西鲸裕清酒VS杭州经纬 现场原声 19:20,${replace}/961271062
浙江省城市篮球联赛 台州VS杭州 25/26赛季浙江省城市篮球联赛: 台州VS杭州 19:30,${replace}/961339123
CBA 江苏肯帝亚VS宁波町渥 清流播出 19:35,${replace}/961995025
CBA 北京北汽VS广东东阳光 清流播出 19:35,${replace}/961995040
CBA 四川丰谷酒业VS福建晋江文旅 清流播出 19:35,${replace}/961995048
CBA 天津先行者VS浙江方兴渡 清流播出 19:35,${replace}/961995061
CBA 浙江稠州金租VS青岛崂山啤酒 清流播出 19:35,${replace}/961995072
全国U19青年篮球联赛 E组第四vsE组第二 赛场原声 19:55,${replace}/961450669
全国U19青年篮球联赛 场序32胜者vs场序36场胜 赛场原声 19:55,${replace}/961450671
